val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.019381,0.680015,0.019381,0.000020,0.527677,1.000000,
0.025656,0.803575,0.025656,0.000018,0.632517,2.000000,
0.000000,0.893843,0.025656,0.000016,0.397642,3.000000,
0.000000,0.893843,0.025656,0.000015,1.077104,4.000000,
-0.029326,0.778312,0.025656,0.000013,0.686502,5.000000,
-0.029326,0.726992,0.025656,0.000011,0.467372,6.000000,
0.219108,0.635046,0.219108,0.000009,0.487583,7.000000,
0.148637,0.658459,0.219108,0.000007,0.408161,8.000000,
0.134495,0.667269,0.219108,0.000005,0.505515,9.000000,
0.138426,0.688181,0.219108,0.000004,0.300853,10.000000,
0.122472,0.729612,0.219108,0.000002,0.340530,11.000000,
0.058901,0.762386,0.219108,0.000000,0.159321,12.000000,
