val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.463768,0.776383,0.463768,0.000020,0.663317,1.000000,
0.463768,0.775618,0.463768,0.000018,0.747299,2.000000,
0.456522,0.769642,0.463768,0.000016,0.714419,3.000000,
0.456522,0.760436,0.463768,0.000015,0.905920,4.000000,
0.449275,0.753588,0.463768,0.000013,0.669955,5.000000,
0.456522,0.743745,0.463768,0.000011,0.707330,6.000000,
0.434783,0.737086,0.463768,0.000009,0.700873,7.000000,
0.449275,0.732485,0.463768,0.000007,0.840293,8.000000,
0.456522,0.727831,0.463768,0.000005,0.684875,9.000000,
0.456522,0.723562,0.463768,0.000004,0.636022,10.000000,
0.442029,0.722407,0.463768,0.000002,0.671665,11.000000,
0.456522,0.721843,0.463768,0.000000,0.612750,12.000000,
