val_acc,val_f1,val_acc_and_f1,val_loss,best_val_acc,learning_rate,loss,step,
0.315271,0.000000,0.157635,0.770708,0.315271,0.000020,0.816541,1.000000,
0.315271,0.000000,0.157635,0.729924,0.315271,0.000018,0.691071,2.000000,
0.679803,0.809384,0.744594,0.695829,0.679803,0.000016,0.803939,3.000000,
0.684729,0.809524,0.747126,0.684134,0.684729,0.000015,0.852743,4.000000,
0.655172,0.766667,0.710920,0.668524,0.684729,0.000013,0.662934,5.000000,
0.674877,0.793750,0.734313,0.660703,0.684729,0.000011,0.678353,6.000000,
0.645320,0.742857,0.694089,0.651455,0.684729,0.000009,0.639157,7.000000,
0.620690,0.685714,0.653202,0.651693,0.684729,0.000007,0.653559,8.000000,
0.665025,0.751825,0.708425,0.650196,0.684729,0.000005,0.522113,9.000000,
0.669951,0.754579,0.712265,0.647478,0.684729,0.000004,0.619491,10.000000,
0.679803,0.770318,0.725060,0.650015,0.684729,0.000002,0.385142,11.000000,
0.669951,0.758123,0.714037,0.647814,0.684729,0.000000,0.561136,12.000000,
