val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
-0.024768,0.775255,-0.024768,0.000020,0.830214,1.000000,
0.000000,0.934372,0.000000,0.000018,0.910288,2.000000,
0.000000,1.100948,0.000000,0.000016,0.855921,3.000000,
0.000000,1.342942,0.000000,0.000015,0.077723,4.000000,
0.000000,1.376086,0.000000,0.000013,0.798898,5.000000,
0.000000,1.292644,0.000000,0.000011,1.107752,6.000000,
0.000000,1.181413,0.000000,0.000009,0.379671,7.000000,
0.000000,1.079135,0.000000,0.000007,0.794629,8.000000,
0.000000,0.985401,0.000000,0.000005,0.360819,9.000000,
0.000000,0.907722,0.000000,0.000004,0.518637,10.000000,
0.000000,0.852505,0.000000,0.000002,0.501591,11.000000,
0.000000,0.825568,0.000000,0.000000,0.586729,12.000000,
