val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.543478,0.643228,0.543478,0.000020,0.727150,9.000000,
0.557971,0.655832,0.557971,0.000018,0.725618,18.000000,
0.543478,0.659239,0.557971,0.000016,0.696283,27.000000,
0.471014,0.730640,0.557971,0.000014,0.720695,36.000000,
0.630435,0.610347,0.630435,0.000012,0.644861,45.000000,
0.608696,0.628166,0.630435,0.000010,0.650247,54.000000,
0.550725,0.626872,0.630435,0.000008,0.706762,63.000000,
0.586957,0.689172,0.630435,0.000006,0.665305,72.000000,
0.630435,0.563442,0.630435,0.000003,0.606803,81.000000,
0.644928,0.552825,0.644928,0.000001,0.505894,90.000000,
0.652174,0.552493,0.652174,0.000000,0.481694,96.000000,
