val_acc,val_loss,best_val_acc,learning_rate,loss,step,
0.543478,0.646995,0.543478,0.000020,0.720726,9.000000,
0.565217,0.615087,0.565217,0.000018,0.694796,18.000000,
0.586957,0.576957,0.586957,0.000016,0.657553,27.000000,
0.594203,0.657119,0.594203,0.000014,0.687660,36.000000,
0.637681,0.543725,0.637681,0.000012,0.544558,45.000000,
0.644928,0.601562,0.644928,0.000010,0.550514,54.000000,
0.608696,0.663322,0.644928,0.000008,0.473589,63.000000,
0.637681,0.650281,0.644928,0.000006,0.398092,72.000000,
0.601449,0.631841,0.644928,0.000003,0.341156,81.000000,
0.644928,0.661937,0.644928,0.000001,0.285906,90.000000,
0.623188,0.657513,0.644928,0.000000,0.318223,96.000000,
