val_acc,val_f1,val_acc_and_f1,val_loss,best_val_acc,learning_rate,loss,step,
0.724138,0.830303,0.777220,0.648623,0.724138,0.000020,0.687561,9.000000,
0.724138,0.830303,0.777220,0.767481,0.724138,0.000018,0.567140,18.000000,
0.724138,0.831325,0.777732,0.806382,0.724138,0.000016,0.595199,27.000000,
0.793103,0.859060,0.826082,0.516975,0.793103,0.000014,0.576202,36.000000,
0.788177,0.846975,0.817576,0.475834,0.793103,0.000012,0.444480,45.000000,
0.768473,0.853583,0.811028,0.775309,0.793103,0.000010,0.471804,54.000000,
0.768473,0.836237,0.802355,0.541446,0.793103,0.000008,0.413069,63.000000,
0.773399,0.853503,0.813451,0.762662,0.793103,0.000006,0.234507,72.000000,
0.793103,0.856164,0.824634,0.576627,0.793103,0.000003,0.263491,81.000000,
0.802956,0.865772,0.834364,0.673261,0.802956,0.000001,0.215938,90.000000,
0.802956,0.865772,0.834364,0.666402,0.802956,0.000000,0.280520,96.000000,
