val_mcc,val_loss,best_val_mcc,learning_rate,loss,step,
0.225174,0.624794,0.225174,0.000020,0.636481,9.000000,
0.289779,0.615457,0.289779,0.000018,0.536783,18.000000,
0.376234,0.601688,0.376234,0.000016,0.510642,27.000000,
0.406731,0.582960,0.406731,0.000014,0.468877,36.000000,
0.407564,0.550950,0.407564,0.000012,0.353268,45.000000,
0.382150,0.670146,0.407564,0.000010,0.358508,54.000000,
0.436421,0.591634,0.436421,0.000008,0.300964,63.000000,
0.391769,0.680133,0.436421,0.000006,0.225207,72.000000,
0.382338,0.752450,0.436421,0.000003,0.187136,81.000000,
0.418728,0.734033,0.436421,0.000001,0.181074,90.000000,
0.418728,0.734165,0.436421,0.000000,0.140263,96.000000,
