val_acc,val_f1,val_acc_and_f1,val_loss,best_val_acc,learning_rate,loss,step,
0.684729,0.812865,0.748797,0.726740,0.684729,0.000020,0.630046,9.000000,
0.684729,0.812865,0.748797,0.740269,0.684729,0.000018,0.669999,18.000000,
0.684729,0.812865,0.748797,0.694853,0.684729,0.000016,0.654608,27.000000,
0.684729,0.812865,0.748797,0.696781,0.684729,0.000014,0.587138,36.000000,
0.684729,0.812865,0.748797,0.740453,0.684729,0.000012,0.511849,45.000000,
0.684729,0.812865,0.748797,0.728191,0.684729,0.000010,0.612487,54.000000,
0.684729,0.812865,0.748797,0.654665,0.684729,0.000008,0.562022,63.000000,
0.684729,0.812865,0.748797,0.745566,0.684729,0.000006,0.453075,72.000000,
0.684729,0.812865,0.748797,0.635939,0.684729,0.000003,0.471300,81.000000,
0.733990,0.830189,0.782089,0.677382,0.733990,0.000001,0.442175,90.000000,
0.748768,0.836013,0.792391,0.668951,0.748768,0.000000,0.495844,96.000000,
