val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.716056,0.749050,0.732553,1.720860,0.749050,0.000020,2.429986,9.000000,
0.776469,0.711363,0.743916,0.995949,0.749050,0.000018,1.377321,18.000000,
0.819993,0.808061,0.814027,1.023334,0.808061,0.000016,1.192408,27.000000,
0.796383,0.844946,0.820665,1.161799,0.844946,0.000014,0.983560,36.000000,
0.819866,0.831511,0.825688,0.818233,0.844946,0.000012,1.120020,45.000000,
0.785152,0.815267,0.800210,0.978194,0.844946,0.000010,0.983071,54.000000,
0.755328,0.785925,0.770626,1.285629,0.844946,0.000008,0.997853,63.000000,
0.839499,0.835313,0.837406,0.686670,0.844946,0.000006,0.882299,72.000000,
0.844016,0.843525,0.843771,0.677058,0.844946,0.000003,0.662958,81.000000,
0.820698,0.815674,0.818186,0.768743,0.844946,0.000001,0.899714,90.000000,
0.836799,0.828552,0.832675,0.694224,0.844946,0.000000,0.828615,96.000000,
