val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.754513,0.738888,0.746701,2.057136,0.738888,0.000020,4.812148,9.000000,
0.835170,0.853484,0.844327,1.581041,0.853484,0.000018,1.468592,18.000000,
0.856711,0.862293,0.859502,0.899874,0.862293,0.000016,0.980017,27.000000,
0.866575,0.864606,0.865590,0.599530,0.864606,0.000014,0.703864,36.000000,
0.869622,0.868488,0.869055,0.589963,0.868488,0.000012,0.520564,45.000000,
0.879126,0.876019,0.877573,0.561664,0.876019,0.000010,0.582272,54.000000,
0.882716,0.880879,0.881798,0.546664,0.880879,0.000008,0.509991,63.000000,
0.882430,0.881929,0.882179,0.705975,0.881929,0.000006,0.446868,72.000000,
0.881628,0.879553,0.880590,0.525658,0.881929,0.000003,0.363873,81.000000,
0.884574,0.882457,0.883515,0.535767,0.882457,0.000001,0.313033,90.000000,
0.884949,0.882765,0.883857,0.541326,0.882765,0.000000,0.323102,96.000000,
