val_pearson,val_spearmanr,val_corr,val_loss,best_val_spearmanr,learning_rate,loss,step,
0.190928,0.040478,0.115703,5.028417,0.040478,0.000020,7.658890,9.000000,
0.359284,0.463815,0.411549,2.613868,0.463815,0.000018,4.773742,18.000000,
0.530261,0.640511,0.585386,1.706589,0.640511,0.000016,2.648512,27.000000,
0.669712,0.719625,0.694669,1.329869,0.719625,0.000014,1.956318,36.000000,
0.803383,0.822224,0.812804,0.911049,0.822224,0.000012,1.343598,45.000000,
0.827014,0.838170,0.832592,0.810642,0.838170,0.000010,1.024892,54.000000,
0.815591,0.815887,0.815739,0.782493,0.838170,0.000008,1.123848,63.000000,
0.833928,0.852192,0.843060,0.723646,0.852192,0.000006,0.824405,72.000000,
0.843265,0.856938,0.850101,0.676054,0.856938,0.000003,0.721493,81.000000,
0.848586,0.862357,0.855472,0.637349,0.862357,0.000001,0.663368,90.000000,
0.849514,0.863647,0.856580,0.633340,0.863647,0.000000,0.621932,96.000000,
