,val_acc,val_loss,best_val_acc,learning_rate,loss,step,Unnamed: 6,i,filetype,seed,dataset,method,replicate,split,test_acc,test_loss,test_step,val_f1,val_acc_and_f1,Unnamed: 8,test_f1,test_acc_and_f1,val_pearson,val_spearmanr,val_corr,best_val_spearmanr,test_pearson,test_spearmanr,test_corr,val_mcc,best_val_mcc,test_mcc
0,0.528986,0.722226,0.528986,0.0,0.559178,3.0,,0,raw_log,3,RTE,reinit_debiased,0,10,,,,,,,,,,,,,,,,,,
1,,,,,,,,0,test_best_log,3,RTE,reinit_debiased,0,10,0.5252,0.7328,3.0,,,,,,,,,,,,,,,
2,,,,,,,,0,test_last_log,3,RTE,reinit_debiased,0,10,0.5252,0.7328,3.0,,,,,,,,,,,,,,,
3,0.528986,0.709873,0.528986,0.0,0.590651,3.0,,0,raw_log,0,RTE,reinit_debiased,0,10,,,,,,,,,,,,,,,,,,
4,,,,,,,,0,test_best_log,0,RTE,reinit_debiased,0,10,0.5252,0.7286,3.0,,,,,,,,,,,,,,,
5,,,,,,,,0,test_last_log,0,RTE,reinit_debiased,0,10,0.5252,0.7286,3.0,,,,,,,,,,,,,,,
6,0.528986,0.62816,0.528986,0.0,0.490528,3.0,,0,raw_log,2,RTE,reinit_debiased,0,10,,,,,,,,,,,,,,,,,,
7,,,,,,,,0,test_best_log,2,RTE,reinit_debiased,0,10,0.5252,0.6617,3.0,,,,,,,,,,,,,,,
8,,,,,,,,0,test_last_log,2,RTE,reinit_debiased,0,10,0.5252,0.6617,3.0,,,,,,,,,,,,,,,
9,0.528986,0.745606,0.528986,0.0,0.593322,3.0,,0,raw_log,4,RTE,reinit_debiased,0,10,,,,,,,,,,,,,,,,,,
10,,,,,,,,0,test_best_log,4,RTE,reinit_debiased,0,10,0.5252,0.7762,3.0,,,,,,,,,,,,,,,
11,,,,,,,,0,test_last_log,4,RTE,reinit_debiased,0,10,0.5252,0.7762,3.0,,,,,,,,,,,,,,,
12,0.528986,0.712412,0.528986,0.0,0.534592,3.0,,0,raw_log,1,RTE,reinit_debiased,0,10,,,,,,,,,,,,,,,,,,
13,,,,,,,,0,test_best_log,1,RTE,reinit_debiased,0,10,0.5252,0.7387,3.0,,,,,,,,,,,,,,,
14,,,,,,,,0,test_last_log,1,RTE,reinit_debiased,0,10,0.5252,0.7387,3.0,,,,,,,,,,,,,,,
15,0.684729,1.257012,0.684729,0.0,0.571978,3.0,,0,raw_log,3,MRPC,reinit_debiased,0,10,,,,0.812865,0.748797,,,,,,,,,,,,,
16,,,,,,,,0,test_best_log,3,MRPC,reinit_debiased,0,10,0.6829,1.303,3.0,,,,0.8116,0.7473,,,,,,,,,,
17,,,,,,,,0,test_last_log,3,MRPC,reinit_debiased,0,10,0.6829,1.303,3.0,,,,0.8116,0.7473,,,,,,,,,,
18,0.684729,1.261745,0.684729,0.0,0.587371,3.0,,0,raw_log,0,MRPC,reinit_debiased,0,10,,,,0.812865,0.748797,,,,,,,,,,,,,
19,,,,,,,,0,test_best_log,0,MRPC,reinit_debiased,0,10,0.6829,1.2837,3.0,,,,0.8116,0.7473,,,,,,,,,,
20,,,,,,,,0,test_last_log,0,MRPC,reinit_debiased,0,10,0.6829,1.2837,3.0,,,,0.8116,0.7473,,,,,,,,,,
21,0.684729,1.179708,0.684729,0.0,0.654555,3.0,,0,raw_log,2,MRPC,reinit_debiased,0,10,,,,0.812865,0.748797,,,,,,,,,,,,,
22,,,,,,,,0,test_best_log,2,MRPC,reinit_debiased,0,10,0.6829,1.1929,3.0,,,,0.8116,0.7473,,,,,,,,,,
23,,,,,,,,0,test_last_log,2,MRPC,reinit_debiased,0,10,0.6829,1.1929,3.0,,,,0.8116,0.7473,,,,,,,,,,
24,0.684729,1.258297,0.684729,0.0,0.542377,3.0,,0,raw_log,4,MRPC,reinit_debiased,0,10,,,,0.812865,0.748797,,,,,,,,,,,,,
25,,,,,,,,0,test_best_log,4,MRPC,reinit_debiased,0,10,0.6829,1.2604,3.0,,,,0.8116,0.7473,,,,,,,,,,
26,,,,,,,,0,test_last_log,4,MRPC,reinit_debiased,0,10,0.6829,1.2604,3.0,,,,0.8116,0.7473,,,,,,,,,,
27,0.684729,1.321715,0.684729,0.0,0.526533,3.0,,0,raw_log,1,MRPC,reinit_debiased,0,10,,,,0.812865,0.748797,,,,,,,,,,,,,
28,,,,,,,,0,test_best_log,1,MRPC,reinit_debiased,0,10,0.6829,1.35,3.0,,,,0.8116,0.7473,,,,,,,,,,
29,,,,,,,,0,test_last_log,1,MRPC,reinit_debiased,0,10,0.6829,1.35,3.0,,,,0.8116,0.7473,,,,,,,,,,
30,,10.349553,,0.0,13.146717,3.0,,0,raw_log,3,STS-B,reinit_debiased,0,10,,,,,,,,,-0.02044,0.004308,-0.008066,0.004308,,,,,,
31,,,,,,,,0,test_best_log,3,STS-B,reinit_debiased,0,10,,10.6354,3.0,,,,,,,,,,0.0596,0.0728,0.0662,,,
32,,,,,,,,0,test_last_log,3,STS-B,reinit_debiased,0,10,,10.6354,3.0,,,,,,,,,,0.0596,0.0728,0.0662,,,
33,,5.695974,,0.0,8.448757,3.0,,0,raw_log,0,STS-B,reinit_debiased,0,10,,,,,,,,,0.254296,0.222423,0.23836,0.222423,,,,,,
34,,,,,,,,0,test_best_log,0,STS-B,reinit_debiased,0,10,,5.9891,3.0,,,,,,,,,,0.2696,0.2407,0.2551,,,
35,,,,,,,,0,test_last_log,0,STS-B,reinit_debiased,0,10,,5.9891,3.0,,,,,,,,,,0.2696,0.2407,0.2551,,,
36,,6.512106,,0.0,8.909376,3.0,,0,raw_log,2,STS-B,reinit_debiased,0,10,,,,,,,,,0.096227,0.100561,0.098394,0.100561,,,,,,
37,,,,,,,,0,test_best_log,2,STS-B,reinit_debiased,0,10,,6.6229,3.0,,,,,,,,,,0.1024,0.1222,0.1123,,,
38,,,,,,,,0,test_last_log,2,STS-B,reinit_debiased,0,10,,6.6229,3.0,,,,,,,,,,0.1024,0.1222,0.1123,,,
39,,7.313731,,0.0,9.903438,3.0,,0,raw_log,4,STS-B,reinit_debiased,0,10,,,,,,,,,-0.050285,-0.04758,-0.048932,-0.04758,,,,,,
40,,,,,,,,0,test_best_log,4,STS-B,reinit_debiased,0,10,,7.782,3.0,,,,,,,,,,-0.1254,-0.1118,-0.1186,,,
41,,,,,,,,0,test_last_log,4,STS-B,reinit_debiased,0,10,,7.782,3.0,,,,,,,,,,-0.1254,-0.1118,-0.1186,,,
42,,5.827065,,0.0,8.735152,3.0,,0,raw_log,1,STS-B,reinit_debiased,0,10,,,,,,,,,-0.157661,-0.158401,-0.158031,-0.158401,,,,,,
43,,,,,,,,0,test_best_log,1,STS-B,reinit_debiased,0,10,,6.0497,3.0,,,,,,,,,,-0.2157,-0.2394,-0.2275,,,
44,,,,,,,,0,test_last_log,1,STS-B,reinit_debiased,0,10,,6.0497,3.0,,,,,,,,,,-0.2157,-0.2394,-0.2275,,,
45,,0.691816,,0.0,0.523489,3.0,,0,raw_log,3,CoLA,reinit_debiased,0,10,,,,,,,,,,,,,,,,0.072336,0.072336,
46,,,,,,,,0,test_best_log,3,CoLA,reinit_debiased,0,10,,0.7221,3.0,,,,,,,,,,,,,,,-0.0381
47,,,,,,,,0,test_last_log,3,CoLA,reinit_debiased,0,10,,0.7221,3.0,,,,,,,,,,,,,,,-0.0381
48,,0.670834,,0.0,0.666622,3.0,,0,raw_log,0,CoLA,reinit_debiased,0,10,,,,,,,,,,,,,,,,0.0,0.0,
49,,,,,,,,0,test_best_log,0,CoLA,reinit_debiased,0,10,,0.6801,3.0,,,,,,,,,,,,,,,0.0
50,,,,,,,,0,test_last_log,0,CoLA,reinit_debiased,0,10,,0.6801,3.0,,,,,,,,,,,,,,,0.0
51,,0.673432,,0.0,0.673435,3.0,,0,raw_log,2,CoLA,reinit_debiased,0,10,,,,,,,,,,,,,,,,0.113798,0.113798,
52,,,,,,,,0,test_best_log,2,CoLA,reinit_debiased,0,10,,0.7015,3.0,,,,,,,,,,,,,,,0.0
53,,,,,,,,0,test_last_log,2,CoLA,reinit_debiased,0,10,,0.7015,3.0,,,,,,,,,,,,,,,0.0
54,,0.656431,,0.0,0.621113,3.0,,0,raw_log,4,CoLA,reinit_debiased,0,10,,,,,,,,,,,,,,,,0.06833,0.06833,
55,,,,,,,,0,test_best_log,4,CoLA,reinit_debiased,0,10,,0.6891,3.0,,,,,,,,,,,,,,,0.0222
56,,,,,,,,0,test_last_log,4,CoLA,reinit_debiased,0,10,,0.6891,3.0,,,,,,,,,,,,,,,0.0222
57,,0.70194,,0.0,0.504927,3.0,,0,raw_log,1,CoLA,reinit_debiased,0,10,,,,,,,,,,,,,,,,0.040036,0.040036,
58,,,,,,,,0,test_best_log,1,CoLA,reinit_debiased,0,10,,0.7357,3.0,,,,,,,,,,,,,,,-0.0141
59,,,,,,,,0,test_last_log,1,CoLA,reinit_debiased,0,10,,0.7357,3.0,,,,,,,,,,,,,,,-0.0141
60,0.521739,0.639172,0.521739,0.0,0.561032,3.0,,0,raw_log,3,RTE,reinit_debiased,4,10,,,,,,,,,,,,,,,,,,
61,,,,,,,,0,test_best_log,3,RTE,reinit_debiased,4,10,0.518,0.6383,3.0,,,,,,,,,,,,,,,
62,,,,,,,,0,test_last_log,3,RTE,reinit_debiased,4,10,0.518,0.6383,3.0,,,,,,,,,,,,,,,
63,0.521739,0.699365,0.521739,0.0,0.449561,3.0,,0,raw_log,0,RTE,reinit_debiased,4,10,,,,,,,,,,,,,,,,,,
64,,,,,,,,0,test_best_log,0,RTE,reinit_debiased,4,10,0.5324,0.678,3.0,,,,,,,,,,,,,,,
65,,,,,,,,0,test_last_log,0,RTE,reinit_debiased,4,10,0.5324,0.678,3.0,,,,,,,,,,,,,,,
66,0.507246,0.648367,0.507246,0.0,0.539865,3.0,,0,raw_log,2,RTE,reinit_debiased,4,10,,,,,,,,,,,,,,,,,,
67,,,,,,,,0,test_best_log,2,RTE,reinit_debiased,4,10,0.518,0.6671,3.0,,,,,,,,,,,,,,,
68,,,,,,,,0,test_last_log,2,RTE,reinit_debiased,4,10,0.518,0.6671,3.0,,,,,,,,,,,,,,,
69,0.565217,0.653979,0.565217,0.0,0.552652,3.0,,0,raw_log,4,RTE,reinit_debiased,4,10,,,,,,,,,,,,,,,,,,
70,,,,,,,,0,test_best_log,4,RTE,reinit_debiased,4,10,0.5468,0.6468,3.0,,,,,,,,,,,,,,,
71,,,,,,,,0,test_last_log,4,RTE,reinit_debiased,4,10,0.5468,0.6468,3.0,,,,,,,,,,,,,,,
72,0.528986,0.666672,0.528986,0.0,0.467099,3.0,,0,raw_log,1,RTE,reinit_debiased,4,10,,,,,,,,,,,,,,,,,,
73,,,,,,,,0,test_best_log,1,RTE,reinit_debiased,4,10,0.518,0.6634,3.0,,,,,,,,,,,,,,,
74,,,,,,,,0,test_last_log,1,RTE,reinit_debiased,4,10,0.518,0.6634,3.0,,,,,,,,,,,,,,,
75,0.684729,0.805358,0.684729,0.0,0.546833,3.0,,0,raw_log,3,MRPC,reinit_debiased,4,10,,,,0.812865,0.748797,,,,,,,,,,,,,
76,,,,,,,,0,test_best_log,3,MRPC,reinit_debiased,4,10,0.6829,0.8553,3.0,,,,0.8116,0.7473,,,,,,,,,,
77,,,,,,,,0,test_last_log,3,MRPC,reinit_debiased,4,10,0.6829,0.8553,3.0,,,,0.8116,0.7473,,,,,,,,,,
78,0.684729,0.9514,0.684729,0.0,0.628927,3.0,,0,raw_log,0,MRPC,reinit_debiased,4,10,,,,0.812865,0.748797,,,,,,,,,,,,,
79,,,,,,,,0,test_best_log,0,MRPC,reinit_debiased,4,10,0.6829,0.9491,3.0,,,,0.8116,0.7473,,,,,,,,,,
80,,,,,,,,0,test_last_log,0,MRPC,reinit_debiased,4,10,0.6829,0.9491,3.0,,,,0.8116,0.7473,,,,,,,,,,
81,0.684729,0.908802,0.684729,0.0,0.745459,3.0,,0,raw_log,2,MRPC,reinit_debiased,4,10,,,,0.812865,0.748797,,,,,,,,,,,,,
82,,,,,,,,0,test_best_log,2,MRPC,reinit_debiased,4,10,0.6829,0.928,3.0,,,,0.8116,0.7473,,,,,,,,,,
83,,,,,,,,0,test_last_log,2,MRPC,reinit_debiased,4,10,0.6829,0.928,3.0,,,,0.8116,0.7473,,,,,,,,,,
